-0.24873,-0.1787,-0.041029,-0.089823,-0.21299,-0.18553,-0.031884,-0.043384,-0.031884,-0.1787,-0.089823
0,0,0,0,0,0,0,0,0,0,0
0.010224,0.019157,0.0024287,0.0010984,0.0002615,0.00059619,0.042783,0.00058441,0.014682,0.004943,0.0034416
0.34557,0.07615,1.386,2.3256,0.74295,0.13989,0.0089969,0.008984,0.013808,0.0088031,0.0082287
1.5013,1.7051,1.2195,0.25996,5.5949,0.66491,5.7693e-06,5.3807e-05,1.7142,6.95,0.16228
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.00079465,0.0038005,0.027359,3.3729e-05,0.001598,0.00032436,0.00057407,0.043553,0.0075667,0.0055301,0.0099911
0.25369,1.5197,0.13081,0.098304,1.7576,1.3605,0.0091279,0.008855,0.013307,0.0034142,0.014119
1.3022,1.2693,1.8489,0.71574,0.20884,5.9509,5.3962e-05,5.7527e-06,2.6051,0.45618,5.8543
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
1.0165,1.0318,0.99295,1.0074,0.99783,1.0048,1.0416,0.99809,1.0069,1.0102,1.0032
0.9432,0.97605,1.0827,1.0924,1.1296,1.0226,1.0179,0.98487,1.0042,1.0219,1.0062
1.0403,0.93521,0.88436,0.97559,1.1323,0.99355,1.0005,1.0015,0.9289,0.6018,0.99354
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.00010393,0.0001977,2.4116e-05,1.1066e-05,2.6093e-06,5.9903e-06,0.00044581,5.8329e-06,0.00014785,4.9938e-05,3.4526e-05
0.0032708,0.00074382,0.015218,0.02601,0.0084554,0.0014326,9.1591e-05,8.8488e-05,0.00013868,8.9969e-05,8.2802e-05
0.015856,0.016223,0.010918,0.0025427,0.067103,0.0066505,5.772e-08,5.3886e-07,0.016201,0.044949,0.001615
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
-0.016584,-0.031961,0.0070289,-0.00746,0.0021649,-0.0047633,-0.04201,0.0019078,-0.0070096,-0.010267,-0.0031982
0.053526,0.023205,-0.097946,-0.11843,-0.13809,-0.024053,-0.018032,0.015042,-0.0043642,-0.022016,-0.006256
-0.056124,0.048562,0.10472,0.021868,-0.19936,-0.00020514,-0.00048018,-0.001469,0.054897,0.35325,0.004841
